ConceptID,ConceptLabel
1,Robot Day
2,STEM Education
3,Coding Basics
4,Robotics Introduction
5,Challenge Format
6,Robot Expert Sticker
7,Challenge Tables
8,Collision Avoidance
9,Microcontroller Boards
10,RP2040 Board
11,Welcome Table
12,Participant Checklist
13,Battery Types
14,Battery Polarity
15,Positive Terminal
16,Negative Terminal
17,Dead Batteries
18,Battery Testing
19,Rechargeable Batteries
20,Power Cords
21,Wireless Operation
22,Robot Power Source
23,DC Motors
24,Motor Circuits
25,Red Wires
26,Black Wires
27,Circuit Completion
28,Conducting Wire
29,Motor Direction
30,Reverse Direction
31,Motor Control
32,Direction Switch
33,H-Bridge Circuit
34,Motor Speed
35,Power Adjustment
36,Speed Control
37,Power Knob
38,Pulse Width Modulation
39,PWM Basics
40,Sensor Types
41,Button Sensors
42,Breadboard Basics
43,LED Indicators
44,Rotary Encoders
45,Knob Controls
46,Time-of-Flight Sensors
47,Distance Measurement
48,Ultrasonic Sensors
49,Sound Waves
50,Compass Sensors
51,Direction Finding
52,Tilt Sensors
53,Accelerometers
54,Motion Detection
55,Display Types
56,Single LEDs
57,RGB LEDs
58,Color Mixing
59,LED Strips
60,Character Displays
61,Graphic Displays
62,OLED Technology
63,Smartwatch Displays
64,Display Cost
65,Display Quality
66,Cost-Quality Tradeoff
67,Microcontroller Basics
68,Program Control
69,System Rules
70,Collision Detection
71,Wall Avoidance
72,Turning Rules
73,Proximity Rules
74,Robot Settings
75,Robot Corral
76,Border Fence
77,Robot Activation
78,Power Switch
79,Rule Activation
80,Robot Movement
81,Path Blocking
82,Direction Change
83,Electrical Circuits
84,Circuit Diagrams
85,Power Flow
86,Signal Processing
87,Input Devices
88,Output Devices
89,Control Systems
90,Feedback Loops
91,Autonomous Movement
92,Robot Navigation
93,Obstacle Detection
94,Robot Programming
95,Algorithm Basics
96,Decision Making
97,If-Then Rules
98,Conditional Logic
99,Sensor Integration
100,Data Processing
101,Response Time
102,Robot Mobility
103,Wheel Systems
104,Drive Motors
105,Motor Mounts
106,Chassis Design
107,Robot Frame
108,Sensor Placement
109,Power Management
110,Battery Life
111,Energy Efficiency
112,Voltage Levels
113,Current Flow
114,Resistance Concepts
115,Short Circuits
116,Circuit Protection
117,Hands-on Learning
118,Interactive Displays
119,Exploration Method
120,Device Interface
121,User Controls
122,Visual Feedback
123,Audio Feedback
124,Tactile Feedback
125,System Integration
126,Component Connections
127,Wire Management
128,Robot Assembly
129,Troubleshooting Basics
130,Problem Solving
131,Critical Thinking
132,Design Process
133,Engineering Concepts
134,Technology Applications
135,Real-world Problems
136,Practical Solutions
137,Maker Movement
138,DIY Robotics
139,Low-cost Computing
140,Affordable Technology
141,Educational Robots
142,Learning Objectives
143,Skill Development
144,Technical Vocabulary
145,Tool Usage
146,Safety Guidelines
147,Electronic Components
148,Hardware Basics
149,Software Basics
150,Robot Behavior
151,Environmental Awareness
152,Spatial Reasoning
153,Measurement Skills
154,Scientific Method
155,Experimental Design
156,Variable Control
157,Data Collection
158,Result Analysis
159,Team Collaboration
160,Project Management
161,Communication Skills
162,Technology Ethics
163,Digital Literacy
164,Technical Documentation
165,Instruction Following
166,Creative Problem Solving
167,Innovation Process
168,Debugging Skills
169,Technical Systems
170,Mechanical Systems
171,Electrical Systems
172,Computer Systems
173,Input Processing
174,Output Generation
175,Logic Gates
176,Binary Concepts
177,Digital Signals
178,Analog Signals
179,Signal Conversion
180,Timing Control
181,Sequential Operations
182,Parallel Operations
183,Robot Intelligence
184,Artificial Intelligence Basics
185,Machine Learning Introduction
186,Pattern Recognition
187,Environmental Mapping
188,Spacial Awareness
189,Task Automation
190,Process Efficiency
191,Engineering Constraints
192,Design Limitations
193,Performance Optimization
194,Technology Evolution
195,Future Applications
196,Career Pathways
197,Technology Impact
198,Innovation Mindset
199,Continuous Learning
200,STEM Careers
